Attachment size in more human-readable format. ##,enhancement+
"[Bug] %d not replaced in string correctly. I'm using version 5.400 from the play store.The last update of the german translation is older than 7 days (5.400 release) and it employs the %d syntax correctly as far as I can see (same syntax as english strings), so the bug is likely not fixed, yet.![k9](. I'm not sure how to reproduce it. This was the first time seeing it happen.What I did: search for a string, load more results from the server -> this happened.Maybe the connection wasn't completely stable (mobile network), I'm not sure (it took longer to load that time).Usually I'm seeing ""remote_search_downloading_limited"" and not ""remote_search_downloading"".. ",bug+
"Bad <hr> detection causes emails to appear empty. Some emails displayed empty, despite there is text in the email body. Note: Email preview in notification window shows (part) of body; but email body seems empty in K9.This behavior has been introduced with the latest K9 update a few days ago.Email displayed correctly.Email shown empty. When using ""Reply"" on the mail, no email body is shown, the wait cursor is shown indefinitely.Not sure why some emails get not displayed. I could provide the emails not correctly shown if needed. 5.4007.1.1 and also 4.4.4 POP3",bug+
"Prefer To over X-Original-To when determining recipient identity. Please search to check for an existing issue (including closed issues, for which the fix may not have yet been released) before opening a new issue: . reply to the e-mail with the identity the email was send to(note: this is not the same as always replying with the identity which has highest priority, that woudl also be acceptable, but rplying with the identity which received the email would be best)the inital account is selected by default, instead of the identity which received the email. Even the identity priority is ignored.1. create account2. add new identity3. prioritise new identity over inital identity4. send email to newest identity5. attempt to reply to received email (and notice the wrong identity is assumed)5.4007.0IMAP",bug+enhancement+
"""Strip signature on reply"" not always applied. When replying on e-mail back and forth, my signature is added each time. I expect the option ""strip signature on reply"" to prevent this from happening.After replying to an email, my signature is added. The other side replies, and I reply again, now the email has my signature in it twice. And with every reply from my side another signature is added.1. create a signature, either for an identity or in composition default2. turn on strip signature on reply in account settings3. send a message and send it back and forth by replying to it a few times.5.4007.0IMAP",bug+
"Ability to select monospaced font for composing messages. Letters should line up under each other properly, so that users can flag words by using ^^^^ on the line beneath, so that Ascii graphics can be entered, or to make it easier to see when to break a line.Letters don't line up under each other1. Compose a mail with the following contents:mmmmmmmm.....2. Watch how the m's and the dots don't line up...... or, if for some reason this can't be made the default, it should at least be configurable, like it is for reading incoming mails.5.4004.4.2any (tested with IMAP)",enhancement+
"Images in body of YouTube e-mail notifications are no longer displayed. Images in e-mail body should be displayed. Images are not displayed. As far as I know, this is issue with YouTube e-mail notifications only. Everything worked fine until the last update. Now, also the older messages (received before the update) are affected by this bug. Deleting K9's cache and restarting device did not help.1. Open the e-mail message2. Images are blank, as seen here:![1514642673241](.  5.400 5.0.1 (tablet), 5.1.1 (smartphone) IMAP",bug+
"Body in decrypted mails empty by reply or forwarding. If I click reply or forward, the body of the original mail should be filled with the whole original text and maybe attachments by forwarding .There is only the header (Mailadress and so on) and the subject line of the original mail1. Receive a encrypted mail2. Decrypt this mail3. Click reply or forward4. See there is no quote and no attachment (by forwarding)  5.400 7.0 IMAP",bug+
"No notification sound / no notification light when new mail arrives. Please search to check for an existing issue (including closed issues, for which the fix may not have yet been released) before opening a new issue: . Notification Sound / Light should be hearable/visible when new mail arrivesNo Notification sound and no Light notification when new mail arrives(it worked in versions prior 5.4001.Send a mail from an external account (not in K9)2. New Mail arrives (indicated within the K9 account and with a small letter in Notification bar)3. There is no sound and LED notification light 5.400 6.0  (LG G4)IMAP",bug+
Feature Request  : No way to see email content source ?. I noticed that when someone sending me email there is no way to look at the HTML source so I can review the URLs etc to see where they are going to pull images from etc. This makes is harder to determine if you are getting phished or if the images are really trackers.It would be good if we could view the raw / mime decoded email to review its contents like I can with the Alpine email (press H) client.thanksMatt,enhancement+
"Feature Request: Creating splash screen for first time users.. To create multiple screens to display the app icon and the informationCurrently, there is just one screen to display all the information in plane text.1.To create multiple activities and organize the text.##",enhancement+
"Email with different font colours not displaying correctly. Email which uses different coloured text, i.e. to mark distinction between answer and/or response...Are displayed all with same colour.Also,Colours in body of html email are rendered differently depending on theme, light theme displays font colour correctly, dark theme always same colours displayed",bug+
"Crashes on adding an address to a reply list. Please search to check for an existing issue (including closed issues, for which the fix may not have yet been released) before opening a new issue: . I believe this is the same as ""App crashed by typing address in the address field when composing a message #1251"" except that bug was not fixed for when you reply to a message.Should auto-complete the address and not crashCrashes on the second character typed1. Tap the left double-arrow at the bottom while viewing a message (to reply or forward)2. Tap Reply3. Tap in the To field after any existing addresses4. Type in the first characters of an address to send to 5.208 7.0[logcat.txt](.  IMAP",bug+
"export/import settings does not preserve order of accounts. After importing settings (global, accounts, ...) the order of accounts should be restored also.Account order is different.1. Export settings on old phone2. Import settings on new phone5.208",enhancement+
"K-9 affected by Mailsploit. Hello,It seems that K-9 is affected by the Mailsploit bug (. )> Mailsploit is a collection of bugs in email clients that allow effective sender spoofing and code injection attacks. The spoofing is not detected by Mail Transfer Agents (MTA) aka email servers, therefore circumventing spoofing protection mechanisms such as DMARC (DKIM/SPF) or spam filters.![screenshot](. You have been mentioned in the [list of affected vendors](. Regards,Sabri",bug+
"Missed translation resources for 2 strings. Hi, seems that translation missed for this (or related) string in K-9 builds (""Cryptography""). . Also, probably missed localization string in caption (More from this sender -> ""From"") for this or related string: . Please add the resources that we can translate with Transifex. Regards 5.304 4.4Account type (IMAP):",bug+
"Inline text part not displayed. Currently we assume that message parts with `Content-Disposition: inline` and a `Content-ID` header are inline images. We don't show such parts in the list of attachments.. However, that's not a safe assumption. Here's a message that contains an inline part that is not an inline image:```…Content-Type: MULTIPART/MIXED; BOUNDARY=""8323329-444392530-1509536866=:10505""--8323329-444392530-1509536866=:10505Content-Type: TEXT/PLAIN; format=flowed; charset=US-ASCII[text]--8323329-444392530-1509536866=:10505Content-Type: TEXT/x-diff; name=neg.patchContent-Transfer-Encoding: BASE64Content-ID: <alpine.DEB.2.02.1711011247420.10505@stedding.saclay.inria.fr>Content-Description: Content-Disposition: inline; filename=neg.patch…--8323329-444392530-1509536866=:10505--```Source: . ",bug+
"URL at the beginning of a line in plain text body isn't linkified. This happens because we first convert the plain text to HTML and end up with something like:```html<br>. <br>```But right now only supported schemes preceded by a space, a newline, or an opening parenthesis are candidates for linkifying.. ",bug+
Emails with attachments can get sent multiple times. Email should only be sent onceEmail gets sent about five times1. Send an email with an attachment2. 3. 5.208 6.0Pop3,bug+
"Feature Request: Privacy settings, dont transmit local interface IP as hello to the SMTP server. Hi,please add a privacy setting next to ""Remove K-9 User-Agent from mail headers"" like:""Report always localhost as SMTP hello argument""The issue i face is that K-9 mail is reporting the local network IP while sending mails over wifi that lookes like that in headers:``Received: from hostnamexyz ([aaa.bbb.ccc.ddd] helo=[192.168.xxx.yyy])``But i dont want that my local ip (192.168.xxx.yyy) is revealed. In Thunderbird i can accomplish this by setting ``mail.smtpserver.default.hello_argument`` to ``localhost``, please add a option for K-9 mail to.Thanks in advance",enhancement+
"S/MIME signed emails in sent folder misleadingly shown as PGP encrypted mails. I am using S/MIME to sign e-mails on my computer. When I open sent mails in k9 mail app on my smartphone the mail body is shown correctly, I can read the sent message, because it is just signed. I also see the attachment (signature file"" smime.p7s"") there.Since last update the S/MIME signed mails are shown correctly in AutoPreview (I see text there), but after clicking on them to open the mail and read the full message. Instead a message ""this mail is encrypted / This e-mail is with OpenPGP encrypted. To read it you need compatible OpenPGP-App installed and configured / Choose OpenPGPG app"" appeaers and I have no chance to read the message.1. use a s/mime to sign e-mails from your computer2. open the sent mail on your smartphone with k9 mail app3. then this message appears 5.300 (installed 11th Sept. 2017) 7.0 IMAP",bug+
"[feature request] do not set `seen` flag on downloaded mails. I recently changed my mail setup to have K9 fetch mail from Dovecot IMAP server using a Maildir mail storage which is synchronized across multiple computers. Since then, each mail downloaded by K9 becomes flagged as ""seen"" and this changes Mutt handling of it.This issue is to request a way to configure K9 so to request NOT to flag the mail as ""such"".Note: this is not read/unread flag but something different (mutt renders these mails as ""O"" for ""old"", which means they are still unread but ""shown"" before [from+subject]).",enhancement+
"If From & To ""to long"" it show ""null"" instead of the e-mail/name . If From & To string might be ""to long"" it shows ""null"" instead of the e-mail/name.Also if ""invalid"" e-mail-strings like ""Domains <@info>"" were used.So far I can see:From: Length of 75 character shows, with 78 character -> nullTo: Total length with 63 characters shows ""null"".This happens in e-mail overview listing and at the single e-mail view ()Android 7.0, K9 5.207at least shortened String. of existing From/ToIf From & To string might be ""to long"" it shows ""null"" instead of the e-mail/name.So far I can see:From: Length of 75 character shows, with 78 character -> nullTo: Total length with 63 characters shows ""null"".Open e-mail in overview and detail. K9 5.207 Android 7.0 (Samsung)Independent from Account Type.",bug+
"push new locale to live. I've completed localization to gd-GB, could someone please throw the necessary switches so it's included in the next release? Cheers :)",enhancement+
"""show pictures"" needed again if screen rotates. Please search to check for an existing issue (including closed issues, for which the fix may not have yet been released) before opening a new issue: . If I touch ""show pictures"" the state should remain if the phone is rotated (portrait to landscape or vice versa).If the phone is rotated the ""show pictures"" button shows again1.Display a message in the message list.2.Touch ""show pictures"".3.Rotate the phone from portrait to landscape.5.2075 on TV PC, 7 on ASUS Zenfone 3POP3",enhancement+
"Last update deleted all my accounts. This morning I updated K-9 through Google Play: it deleted all my accounts.To see my many accounts set up and running as beforeK-9 shows as a new install, without any account1.2.3. 5.207 6.0 IMAP",bug+
BCC not visible in sent folder. BCC recipients should be visible in the sent folderBCC recipients are not visible- Send a message with a bcc recipient- Check the sent message in the sent folder 5.206 7.1.1 IMAP,enhancement+
"Per-account customisation of sounds, vibration and LED lighting. Hi there. I notice one major issue about this app that I'd like to add: the ability to customization the vibration patterns, LED settings, and sound settings for each of my inboxes. Particularly the vibration, since I have other apps that have this same vibration pattern. Would appreciate if this was added! Thanks",enhancement+
"Beta Tester link on README.md not working. Hello,the ""Beta tester"" and ""Alpha tester"" Links on the github landing page are broken.Is there a version with the new UI that can be tested?",bug+
Wrapped time periods do not work. Disable notifications checked in settings so notifications should be disabled during Quiet TimeQuiet Time set to an inclusive period like 02:00-01:59 (expected 23 hours 59 minutes of quiet time) does not disable notifications during this period1. Set Quiet Time between 02:00-01:59 5.203 6.0.1,bug+
"A lot of crashes with android 7.0. I have k9 installed on some devices, but the only one with android 7.0 suffers of crashes which do not happen in android 4.4.1.2.3.5.2067.0imap",bug+
Exported Settings: filename should contain additional info (export data). The export file of the k9 settings should contain the export data (should be easy to implement and adds additional helpful info)Example:- k9_settings_export_20170520.k9s- k9_settings_export_20170601.k9sCurrent export settings are following a numbers name schema if i get it rightCurrent names:- settings-5.k9s- settings-6.k9s1. Export settings 5.206 7.1.2Account type: IMAP,enhancement+
"Cannot fetch contents of old mail from IMAP server. When I search for an older email which is not on my device but on the IMAP server, I'd expect to be able to find and read it.The mail is found, and its subject and other info is shown. But when I open it, then no content is displayed. When I hit reply, there is an animated ""waiting circle"" at the top, and still no contents.It works with other mail apps and programs, so I doubt it is an issue with my mail provider.1. Search for mail.2. Hit search on server.3. Click on mail. 5.206 7.0 IMAP[k9-log.txt](. ",bug+
"Recipient headers (To, CC, BCC) can exceed maximum line length. It seems that for long CC most servers do not accept messages created by K9. I've found two bug reports that probably pertain to the same problem - both closed without solution:.  , . Gmail returns:209.85.233.26 failed after I sent the message.Remote host said: 550-5.7.1 [212.77.101.11      11] Our system has detected that this message is550-5.7.1 not RFC 5322 compliant:550-5.7.1 'From' header is missing.Yahoo:98.136.216.25 failed after I sent the message.Remote host said: 554 Message not allowed - [299]Below is a sample header taken from mailer daemon reply. In addresses I've replaced small letters and numbers with *.````Return-Path: <",bug+
"Add proper dir and align attributes when using RTL languages. When sending an email with RTL languages (Hebrew, Arabic, etc), the dir and text-align HTML attributes should be ""right"" in the content's element.There is no dir and text-align HTML attributes in the content's element, and the text aligned by the email client default settings. In the composing editor the text appears fine, from right to left, but only on the composer level, and not in the HTML level.Composing is working as expected in RTL languages:![screenshot_20170419-193815](. But when reading content display is wrong:![screenshot_20170419-194123](. 1. Compose new email with RTL language content.2. Send the email.3. Open the email in any other email client, that the default text alignment and direction is left. 5.207 7.0 IMAP",enhancement+
"Export settings  does not export 'Support signing of unecrypted mail' setting. If I set 'Support signing of unecrypted mail' option, then export the settings, then clear K9 mail app. data, then import the settings, the 'Support signing of unecrypted mail' option does not get set.",bug+
Downloading complete message removes star. K9 5.205 If I star message then press the button to download the complete message the star disappears,bug+
"Unable to connect to SMTP-server. Please search to check for an existing issue (including closed issues, for which the fix may not have yet been released) before opening a new issue: . K9 should connect to my smtp serverK9 says ""Unable to connect to server ()""1. Make an account with type IMAP2. Choose SMTP server ""smtp.fsdata.se""3. Choose STARTTLS, port 587, normal login4. Press Next 5.206 6.0.1 (CyanogenMod on Sony Xperia Z5 Compact)IMAP##",enhancement+
Cancelling Compose window not always requesting 'Save As Draft' option. THIS IS THE SAME AS #2120 (for v5.203) but that is closed and I dont know how to append/reopen.  This now applies to v5.206.I confirm that the problem now resides on ,bug+
"Request post-auth capabilities if not provided them in the OK AUTH response. Emails are pushed to my phone, because the IMAP server supports it.Emails aren't pushed to my phone.When I connect with openssl I see the following:```openssl s_client -crlf -connect imap.uni-stuttgart.de:993* OK [CAPABILITY IMAP4 IMAP4REV1 LITERAL+] perdition ready on mail-proxy.tik.uni-stuttgart.de 00029957a login ",enhancement+
Setup should stop if user clicks to Cancel. ,enhancement+
"Support SMTP Pipelining. RFC 2920 - SMTP PipeliningMany email servers (e.g. gmail, Live) etc support SMTP command pipelining. This allows for optimisation of SMTP network traffic##",enhancement+
"Contact photo in token doesn't show. When composing email, the contact photo in token showsThe contact photo in token doesn't show at the beginning, but becomes shown if continue to type.![photo6186176924578064303](. 1. Create a contact with photo2. Compose a new email3. Click the drop down item of the contact with photo4. No photo shows in the token5. Continue to type in the input box, the photo shows. 5.203 7.1.1, and I reproduced in API 23 emulator IMAP",bug+
"LED blinking is work only when there is sound notification (Android 7.1.1). There should be LED notification when new mail arrives, even if the ringtone is set to none.There is no LED notification when the ringtone is set to none. If I set it to something, there will be LED notification.Same settings on Android 6.0.1 work as expected.1. Set Blink LED, set Ringtone to None. -> at new mail arrival, no LED notification2. Set Ringtone to something. -> at new mail arrival, there will be sound and LED notification3. Set Ringtone back to None -> at new mail arrival, no LED notification 5.203 7.1.1 IMAP",bug+
"Add support for X-Priority header. Hithis is only a feature request, not an issue.There could be an alert generation. its like if when sender send mail from k-9mail. if thats an important email. so sender may mark it important. This mark activate the alert on the recipent screen. its like recipent may recive the mail but didn't check it. so alert generate after 5 seconds.this alert tells the recipent that there is an important email. you have to seen it. that might be an interesting thing. 5.010 Kitkat api 15+  IMAPThanks.Bilal",enhancement+
Insert <hr> element when converting from text to HTML. When converting text to HTML replace what looks like horizontal lines drawn with ASCII characters with `<hr>`.Examples:```text---------------------------some other text===========================more text-=-=-=-=-=-=-=-=-=-=-=-=-=-scissors below-- >8 --other direction-- 8< --end```I'm not quite happy with the approach in PR #473. But that's the functionality we want.,enhancement+
"Contact nicknames not searched. When composing email, in the To:, CC:, and BCC: fields, typing in a contact's nickname should reveal contact(s) with matching nickname(s).Typing in a contact's nickname reveals no matches.1. Create a contact with a nickname2. In k-9 email, compose a new email3. In any of the address lines type the contact's nickname4. Note that there are no matchesThis is kinda important to me because I don't remember/know most of the real names of my Burning Man contacts, only their Playa (nick) names. (volunteer manager so have 150+ of them)  So every time I go to send them email, I have to go to my contacts app, look it up there and then send email. PITA.  There are also other social groups where this is common. (furries, for example) 5.203 7.0 IMAP",enhancement+
"Non-ASCII sender decoding failed and shown in RAW.. Show decoded non-ASCII sender in Header section. (Not the [menu/show headers] one.)Shown in RAW.1. Send a mail with header formatted in ""From:"" + BODY prefix something other than space, like this: `From:=?UTF-8?B?WWFob28h44OA44Kk44Os44Kv44OI44Kq44OV44Kh44O8?= <directoffer-master@mail.yahoo.co.jp>`or this (I'm not sure if this one meets the RFC requirement):`From: ""=?UTF-8?B?WWFob28h44OA44Kk44Os44Kv44OI44Kq44OV44Kh44O8?= ""<directoffer-master@mail.yahoo.co.jp>`2. Open mail on K-9 5.203 7.1.1Any",bug+
Make all keys in global_preferences.xml lowercase. Some keys in ``global_preferences.xml`` are CamelCase and others are lowercase. We should unify them to lowercase to make it clear that there is no connection to the actual keys inside the preference storage layer.This difference was confusing me in . ,enhancement+
Improve colours of encryption icons for colour blindness. ##,enhancement+
"K-9 sometimes does not send a complete MIME header. K-9 should send a correct MIME email message.The message contains the MIME stuff (boundaries, headers, etc) in the mail content, but _does not_ send the ""MIME-Version"" header nor the ""Content-Type"" header in the email's header part.1. Click on the ""New message"" icon2. Choose a receiver (yourself if you're testing)3. Paste a text from a web page into the _Subject_ line of the mail that includes formatting (for example, a text from a &lt;h1&gt;...&lt;/h1&gt;); the text will look formatted in the input box (which I doubt it should, subjects cannot contain formatting)4. Type an arbitrary body text5. Send the message 5.203 5.1.1 IMAP##",bug+
"'Whistleblowing' option. Either in the encryption options or otherwise, we should add a 'whistleblowing' option. I consider this a 'slider preference' option.This would configure the app to do the following:* Request the OpenPGP application to create a key - this may result in an activity for basic details but would automate as much as possible* Encrypt the email with the key associated with that email address* Not save the e-mail to Sent Items* Delete the OpenPGP key once it's been used.The signing key would only be created and available during the send process.The aim here is to * Support a mid level of plausible deniability. We're not interested in security services here (for that, #2139)  more the corporate case.* Help retain the link between signing and trust* Remove the corner case where people request encryption without signing.",enhancement+
"Display of random ""MSO"" formatting text in HTML. Sorry for the title - I didnt know how best to say it.  I am also guessing at the cause.  The best thing I can do is show you screen shots.The preface:I received an email.  On my K9 it looks awful but the same email when view using, for example Thunderbird, it displays all just fine.I have taken the source of the email, removed non-necessary headers (put there by Yahoo upon delivery), and redacted some links and detail for my privacy (hopefully!).  This attachment, when renamed to being .EML, shows the email as it was received.  (How you get this to display in your K9 test app I dont know but Im sure you have your ways).[MSOtest.txt](. Display clean HTML-based email.  As displayed in Thunderbird:![image](. As displayed in K9 Mail:Part 1:![image](. scroll down a bit, part 2:![image](. You can see it is full of .lines such as """,bug+
"Clear local messages -> freeze. ""Clear local messages"" should clear the locally stored messages, allowing one to re-download the messages from the server.Freeze.1. Have a folder with some large amount of messages. A few hundred should suffice.2. Make sure it's NOT up-to-date with the server3. Clear its local messages. 5.203 6.0.1 IMAP",bug+
"Erroneous ""+0 more"" messages on Notifications.. Since 5.202 occasionally the notifications can show ""+0"".  This never as witnessed in 5.200 and before.Notifications will show a ""+X"" number in the expanded notification where the X is the number of new messages exceeding that of the notification displayed messages.Cannot reproduce at will - Ive not actually tried to work out how.  However, see screenshots:Note it says ",bug+
"Cancelling Compose window not always requesting 'Save As Draft' option. ""Save As Draft"" offering is inconsistent.When browsing, for example the GALLERY on the device, and choosing a picture to 'share' through K9, a new email is generated with the photo attachment.  If the 'return'/back out button is pressed on the device, K9 prompts ""Save as Draft or Discard"" (allowing saving as draft).If a fresh email is composed ",enhancement+
K9 does not delete message from Server. deleting a message on K9 shoudld elete the message from the server as is configured in the accounts Fetching mail optionsmessages are not deleted from the server but remain there. the local message is deletedThis occurs only with my google account 5.203 6.0.1IMAP,bug+
"Database size is still increasing. Unfortunately, the fix #2005 is not sufficient for the issue #1917: After updating from 5.202 to 5.203, the database of my IMAP account decreased only a little bit from 3.5MB to 3.4MB. Compressing the account still doesn't change anything and all local messages were deleted before. In 5.0xx, the database has never gone over 1MB. 5.203 6.0.1 (CyanogenOS 13.1.5)Account type: IMAP",bug+
"windows 1252 encoding issue?. moving from gmail to k9 v5.202 we expected to and from addresses to render correctly.some addresses in the to and from fields of a given mail are rendered as if they havent been decoded i.e. ""=?Windows-1252?Q?insertnamehere?...."".pressing show headers shows what appears to be valid information however when replying to these mails sending fails due to an invalid address.Connecting to the same IMAP service via gmail does not cause the same issue.1.2.3.5.202 various versions of 6 IMAP",bug+
"Apparent Incompatibility with Mailvelope. PGP messages from Mailvelope-enabled gmail addresses should decrypt after authentication.  Mailvelope to Mailvelope works just fine.  After successful authentication challenge, I only see the encrypted PGP block.... no decrypted message1.  Encrypt message using Mailvelope extension on Chrome2.  Email to K9 client email3.  Authenticate  5.202  6.0.1  IMAP",enhancement+
"Icon to remove a recipient in compose screen is almost invisible in dark theme. Dark theme with ""X"" button almost invisible:![k9mail_delete_recipient_dark_theme](. Light theme for comparison:![k9mail_delete_recipient_light_theme](. ",bug+
"Add contact to email shows wrong photo. I click + to add addressee and start typing a name, eg ""GU"". I have multiple contacts whose name contains those letters. Addressees are matched but ones with no photos are shown with photos taken from other contacts. Appears to be random.1. As above2.3.K-9 Mail Version: 5.2026.0.1Pop3",bug+
"NPE in HtmlToSpannedConverter (following unsupported transfer encoding) breaks sync. I am running K9 on Android 7.1. After the updates to 5.2 I have a problem, that a large number of messages are not displayed in the IMAP inbox.I tried to remove local data and re-download the inbox, Most messages are downloaded, but the most recent ones are not. Instead I see a Null Pointer Exception in the folder view. With the RC1 package this does not happen.As I need k9 for daily usage working I switched back to 5.2-RC1 and I do not have a logcat yet.",bug+
"Permanent notification icon. Hi,Would it be possible to implement a permanent icon confirming that background sync is actually active?It would be just a visual remainder, but I think it could be useful.Thanks!",enhancement+
IMAP auth fails for account with dot in name and encrypted password. K-9 to authenticate and pull down email from IMAP server.Authentication fails. ADB log:```01-10 20:42:35.579 E/k9      (12589): com.fsck.k9.mail.AuthenticationFailedException: Command: AUTHENTICATE CRAM-MD5; response: #1,bug+
"use .asc file extension for PGP/MIME. When I receive a PGP/MIME encrypted email from K9 at a client which doesn't support PGP/MIME (mailvelope, inherently), I would like to see files with the attachment .asc because then I can click on them to get a preview, which then can be decrypted my mailvelope. When sending with Thunderbird the encrypted message appears as an attachment with extension .asc.The PGP/MIME attachments don't have a file extension.  5.202",enhancement+
"Server search only shows message headers and doesn't download them. Searching for messages using an IMAP server-side search also yields search results that are older than the ""local folder size"" set in account settings / fetching mail. (e.g. show 1000 messages)Those messages are shown correctly in the search results list but are not downloaded (shown with a grey background). When selecting such a message, only the headers are displayed, the message body is shown empty. 5.202 6.0.1 IMAP",bug+
Lists in emails are not displayed properly. After the last update some emails no longer show the contents of the lists.The emails come from outlook 2010 client.On k9:![image](. on outlook:![image](. 5.202nexus 5 - 6.0.1IMAP,bug+
Add Option to disable encrypting/signing by default. Currently there is no way to disable encryption other than doing that for each E-Mail that I send separately.,enhancement+
"K-9 Mail not showing inline images since last two updates. Inline images should be displayedInline images are not displayed![screenshot_20170106-070121](. Should look like this (snip from outlook):![capture](. 1. Download new email2. View email3. Scratch head4. File issueK-9 Mail 5.201 and 5.202 android 6.0.1, Samsung Note 5.POP3",bug+
Nothing in main body of Mail since latest update. Shows subject line and sender but does show anything in the main body see attachment.  This is the same for new emails or old already downloaded emails5.202 4.4.2 IMAP![screenshot_2017-01-06-09-24-21](. ,bug+
"K9 Unread Widget Size is 1x2 or 2x2 instead of 1x1. I first noticed this on my wifes klte with CM12 - for some reason (unexplicable to mee), the unread widget has the size 2x2 instead of 1x1 for at least a year now (uninstall and reinstall of k9 didn't help).Now, since I updated to K9 5.2, it also happened on my klte with CM13.0, but the size is now 1x2 (as you can see in the attached screenshot). The widget is not resizable after added to a homescreen.![k9widgetsize](. The widget should always be 1x1 in size, as it was before.On some devices, the size is off - 1x2 or 2x2 on two of my devices.Can't reproduce - can get rid of, either, by uninstalling/reinstalling. Also did a wipe of K9 data once on my wifes phone, to no avail. 5.201 currently, was already for some months before on one device. 5.0/6.0 (CM 12/13) IMAP",bug+
"Inline PGP Signatures on Non-encrypted mail. I'd like to be able to send and receive non-encrypted emails that use inline PGP signatures. Basically, using OpenKeychain, I don't want to send an attachment called `signature.asc`, I want a message that will look like: ```-----BEGIN PGP SIGNATURE-----my message-----END PGP SIGNATURE------<signature>```You cannot use inline mode with sign-only mode. Not sure why.1. Compose a new email2. Click on the hamburger menu in the top right3. Enable PGP/INLINE mode4. Try to enable PGP Sign Only mode as well5. It is unsupported 5.201 6 N/AWhy was the decision made to limit the way signatures are added to the message? Is this something OpenKeychain does not support? Because as far as I can tell, K9 can decode _both_ types of email, and show that the signatures are verified, but you cannot compose mail with the above settings.",enhancement+
"CC/BCC Disappear if you tap subject first. While composing a new email, if I type the subject first, and compose the email, THEN go back and fill out the addresses of BCC and CC.While composing a new email, if I type the subject first,  the BCC and CC address fields disappear (have them configured to show by default).   No way to get them back because the BCC/CC icon is missing (see previous issue)1.  Tap to compose a new email2.   Tap and type a subject3.    BCC/CC address fields disappear   5.201 6.0IMAP",bug+
